SMILES;CNN_VS;Vina pKi;Target protein
CCOC(=O)COc1cc2c(C(=O)OCC)c(C)oc2cc1Br;4.6492248;5.53202208;Acetylcholinesterase
C[C@@H](C(=O)N1CCCC1)[C@H]1CC[C@@H](C[C@@H](C)n2cc(C#CCCCC#N)nn2)O1;6.8297229;6.682558595;Acetylcholinesterase
COc1ccc2c(c1OCC(=O)OCCCCO[N+](=O)[O-])COC(C)C2=O;4.9794935;5.716023324;Acetylcholinesterase
CC(C)(C)n1ncc(OCc2ccc(OCCOCCF)cc2)c(Cl)c1=O;6.1069648;5.903549496;Acetylcholinesterase
C=CCc1cc(Br)ccc1OCCCOc1c(C)nc(N)nc1N;4.7348112;6.194708553;Acetylcholinesterase
CCOC(=O)[C@@H]1C[C@H]2C[C@@H](CCc3cc(OC)no3)CC[C@H]2CN1C(=O)OC;6.492141;6.922958688;Acetylcholinesterase
NC(=O)c1cc([C@@H](O)CO)nc(c2ccc(Oc3ccc(Cl)cc3F)cc2)n1;4.003769;7.148554083;Acetylcholinesterase
Cc1cccc(CC(=O)NC2CCS(=O)(=O)C2)c1;4.345364;6.238417661;Acetylcholinesterase
C=CCSC1=CC(=O)C(NCCC[NH3+])=CC1=O;4.6676856;4.531647499;Acetylcholinesterase
CNC(=O)CSc1ncc(Br)cn1;4.6098716;4.039567544;Acetylcholinesterase
C=CCNS(=O)(=O)c1ccc2nsnc2c1;4.245723;5.434734065;Acetylcholinesterase
CCC1COCC1CN1CCCN/C1=C\[N+](=O)[O-];6.6918592;5.515807411;Acetylcholinesterase
O=C1c2cc(c3ccccc3)nn2CCN1CCO;5.4930618;6.363905099;Acetylcholinesterase
CCC(NN1CCCCC1)=C1C(=O)NC(=O)NC1=O;4.655783;5.966293215;Acetylcholinesterase
Nc1nc2c(ncn2Cc2ccccc2CO)c(=O)[nH]1;5.1814248;6.270142013;Acetylcholinesterase
NC(=O)c1cc2c(cc1N)NCCN2CCCl;6.4260875;5.36494049;Acetylcholinesterase
CCCCCCNC(=O)CC1CC(=O)NC(=O)C1;4.442256;5.367760433;Acetylcholinesterase
Cn1cnnc1SCC(=O)NC1CCCCC1;4.7255942;5.558811533;Acetylcholinesterase
CCOC(=O)C1Oc2ccc([N+](=O)[O-])cc2C1(C)O;4.0462656;5.682889;Acetylcholinesterase
O=C(Cn1ccnc1)NNc1nncc2ccccc12;3.4254384;6.48586761;Acetylcholinesterase
C=CCN1C(=O)/C(=C/c2ccccn2)[NH+]=C1SC;5.2108866;5.826706065;Acetylcholinesterase
COc1cc(N2C[C@@H](C)[C@](O)(C3CC3)C2)ncn1;5.2301106;5.900024568;Acetylcholinesterase
COC(=O)c1n[nH]c(NC(=O)c2ccc(F)cc2)n1;3.9541371;5.973343071;Acetylcholinesterase
N#C/C(=C\NN)C(=O)Nc1nc2ccccc2s1;4.7991702;5.572911245;Acetylcholinesterase
C[C@]12C(=O)N(CCCO)C(=O)[C@@]1(C)[C@@H]1CC[C@H]2O1;4.688068;5.806966467;Acetylcholinesterase
O=C(NN/C=N/C(=O)c1cnccn1)c1ccncc1;4.4959359;5.456588619;Acetylcholinesterase
Cc1[nH]c2ccccc2c1/C=N/Nc1nncn1N;3.954206;6.127029934;Acetylcholinesterase
CNC(=S)N/N=C(C)/C(C)=N/NC(=S)NC;4.70909;4.428014615;Acetylcholinesterase
CCCCc1cn(CC(=O)N[C@H]2CCOC2=O)nn1;5.0176203;5.599700698;Acetylcholinesterase
O=S(=O)(CC(O)CO)C1Cc2ccccc2C1;3.9110045;5.900729554;Acetylcholinesterase
CC[NH+](CC)Cc1c(CC(C)C)oc(C)c1C(=O)[O-];6.1167216;5.18023426;Acetylcholinesterase
Cc1cc(C)n(CC(=O)NCC2(C)CCOCC2)n1;5.4031461;6.010707309;Acetylcholinesterase
O=C(NC1CC1)C1CCc2nnc(c3cccnc3)n21;5.5814256;6.496442394;Acetylcholinesterase
Cn1nccc1NS(=O)(=O)c1ccc(F)cc1;3.8001879;5.940913733;Acetylcholinesterase
COCCNC(=O)C1CC(=O)N(C2CCCCC2)C1;4.959448;5.541891878;Acetylcholinesterase
N#C[C@@H]1CCCCN1C(=O)CNC(=O)c1ccccc1;5.1370006;6.624044789;Acetylcholinesterase
CN(C)c1ncnc2c1ncn2CCCCCO;5.542488;4.957458808;Acetylcholinesterase
CC1CCC[NH+](Cc2ccnc(c3cccnc3)n2)C1;4.3068327;#NUM!;Acetylcholinesterase
O=c1cc(NNc2ccc(Cl)cc2)[nH]c(=O)[nH]1;3.4459782;5.847150647;Acetylcholinesterase
O=C(N/N=C/c1ccccc1[N+](=O)[O-])c1cnccn1;4.3123334;6.048071546;Acetylcholinesterase
COc1nc(N2C(=O)CCC2=O)nc(OC)c1O;4.0158714;5.126655354;Acetylcholinesterase
CCOC(=O)c1cnc(N2CCOCC2)nc1O;4.5850178;5.011037714;Acetylcholinesterase
CC(C)[NH+](C)CC(=O)N1CCCC(n2ccnc2)C1;4.9449147;#NUM!;Acetylcholinesterase
CN(C)c1ncc2c(n1)CCCC2NC(=O)C1CC1;4.8043908;6.253927344;Acetylcholinesterase
CC/C(=C\C(CNC(C)=O)=N\O)C(CC)[N+](=O)[O-];3.6842212;5.352250749;Acetylcholinesterase
O=C(/C=C/c1ccc2c(c1)B(O)OC2)c1cccnc1;5.615072;#NUM!;Acetylcholinesterase
Cc1ccc(S(=O)(=O)n2cccc2CO)cc1;5.3064263;5.697693698;Acetylcholinesterase
Cc1c(Cc2cnc(N)nc2N)csc1CCO;4.3988992;5.752682575;Acetylcholinesterase
CC(C)CNC(=O)c1sccc1n1cnnn1;4.4920797;5.496772799;Acetylcholinesterase
CC(=O)c1ccc2c(c1)oc(=O)n2CC[NH+](C)C;5.8401241;5.766077302;Acetylcholinesterase
CCOC(=O)N1CC[NH+](Cc2ccccn2)CC1;4.490038;#NUM!;Acetylcholinesterase
Cc1nc(CN(C)C(=O)[C@H]2CCC[C@H](O)C2)no1;5.2249146;5.639884878;Acetylcholinesterase
N#CCC(=O)NN=Cc1c[n+]([O-])c2ccccc2[n+]1[O-];5.44452;6.097420539;Acetylcholinesterase
CNc1ncnc2c1ncn2[C@H]1CO[C@@H](CO)O1;3.832549;4.955343851;Acetylcholinesterase
COCCC(=O)N1CCC(c2cc(=O)n(C)[nH]2)C1;6.0330944;5.294441929;Acetylcholinesterase
NC(=O)CC12CC3CC(C1)CC(CC(N)=O)(C3)C2;4.5181963;6.693838364;Acetylcholinesterase
C[C@@H](O)[C@H]([NH3+])c1nc2cc(C(C)(C)C#N)ccc2[nH]1;5.4707292;#NUM!;Acetylcholinesterase
CCOc1cccc(/C=N/NC(=S)Nc2ccccc2[N+](=O)[O-])c1O;5.3889792;6.380824754;Acetylcholinesterase
N#CCCN(C(=O)CSc1ccc2c(c1)OCCO2)c1ccccc1;6.3930997;5.93174892;Acetylcholinesterase
C[C@]1(COc2ccc(N3CCOCC3)cc2)Cn2cc([N+](=O)[O-])nc2O1;4.8334336;6.706528105;Acetylcholinesterase
CCOC(=O)Cn1c(C)cc(=O)n2cc(c3cccc([N+](=O)[O-])c3)nc12;6.343558;6.933533472;Acetylcholinesterase
COC(=O)c1cc2c(ccn2c2ccc(F)cc2)n1CC(=O)OC(C)C;4.7496285;6.725562717;Acetylcholinesterase
COc1cncc(Nc2ncc(C(C)(C)O)cc2c2nc(C)nc(N)n2)c1;4.9167118;6.509132135;Acetylcholinesterase
